Timestamp,Filename,Origin (Easting[m],Northing[m],Height[m]),Direction (Easting,Roll(X)[deg],Pitch(Y)[deg],Yaw(Z)[deg],Omega[deg],Phi[deg],Kappa[deg]
399332965.097803,240509_233607529.jpg,486924.926,7039057.543,437.194,-0.885262592,-1.271417584,4.474841488,-152.671222282,-176.81256645,3.383918073,152.527200777
399332914.369692,240509_233516700.jpg,486261.989,7039369.821,411.749,-0.678324493,-0.432462773,-1.269190498,-132.750666445,179.363667437,-1.179393588,132.74894
399332916.152493,240509_233518486.jpg,486269.487,7039373.31,411.298,-0.998034828,4.097190052,-3.135484559,-179.977732941,175.898798518,-3.124210149,179.753885955
399332917.420074,240509_233519757.jpg,486278.346,7039371.336,410.769,-0.930159671,3.846599521,-1.461375475,158.575431941,176.952030492,-2.761598407,-158.697934936
399332918.402875,240509_233520741.jpg,486286.808,7039367.365,410.37,-0.904992916,3.142461985,-1.480801986,154.920481167,177.781075235,-2.67072139,-155.012778158
399332919.243075,240509_233521583.jpg,486295.239,7039363.017,409.987,-0.899845435,2.021054604,-0.904640466,154.208073229,178.575127575,-1.69349801,-154.245064801
399332919.981076,240509_233522323.jpg,486303.77,7039358.592,409.598,-0.902943614,1.440903371,-1.31836033,154.63628005,179.26373353,-1.808116512,-154.664434165
399332920.648176,240509_233522991.jpg,486312.461,7039354.236,409.155,-0.908666963,1.211762582,-1.423974885,155.419032178,179.491395759,-1.798639511,-155.442027896
399332921.265177,240509_233523609.jpg,486321.281,7039349.946,408.698,-0.910018983,1.249590974,-1.674471933,155.621006642,179.553834286,-2.040362902,-155.647156954
399332921.845277,240509_233524191.jpg,486330.097,7039345.626,408.282,-0.9093347,0.548545215,-1.221298247,155.500946505,-179.991596575,-1.338909446,-155.506654434
399332922.398977,240509_233524746.jpg,486338.974,7039341.274,407.897,-0.907078894,0.522283039,-1.282769064,155.193787209,-179.93482041,-1.383589215,-155.198805191
399332922.941178,240509_233525289.jpg,486348.015,7039336.725,407.445,-0.902696537,-0.388772621,-1.654672657,154.621583753,-178.938751023,-1.328183076,-154.603621751
399332923.460578,240509_233525809.jpg,486356.876,7039332.151,407.033,-0.894646295,-0.739928068,-0.63295045,153.523903106,-179.054649386,-0.237527633,-153.517821857
399332923.966778,240509_233526316.jpg,486365.64,7039327.35,406.788,-0.883369197,-1.741715061,-0.236028793,152.103076733,-178.34963368,0.604849604,-152.108156659
399332924.461878,240509_233526812.jpg,486374.295,7039322.366,406.505,-0.869333718,-2.011940602,-0.495579367,150.432365398,-178.005171562,0.560501334,-150.433375924
399332924.956979,240509_233527308.jpg,486382.89,7039317.032,406.274,-0.850858428,-2.407677512,-0.104164203,148.348822089,-177.895115353,1.172765005,-148.368122235
399332925.441979,240509_233527794.jpg,486391.238,7039311.454,406.113,-0.830754531,-2.210596968,-0.00196243,146.216411708,-178.160747619,1.225538628,-146.235991188
399332925.926979,240509_233528280.jpg,486399.415,7039305.509,405.984,-0.809840127,-2.506262029,1.339438059,144.138961712,-178.750782266,2.550029405,-144.19597959
399332926.40188,240509_233528756.jpg,486407.328,7039299.336,406.005,-0.786853218,-2.335645403,1.035613066,141.93854329,-178.797260061,2.252089194,-141.983216692
399332926.87678,240509_233529232.jpg,486415.045,7039292.853,406.021,-0.762902486,-1.681751135,1.755879737,139.784147301,-179.847002551,2.423429534,-139.813083516
399332927.35168,240509_233529708.jpg,486422.523,7039286.013,406.217,-0.740696,-2.341574153,1.702202858,137.8481834,-179.403315479,2.829682296,-137.897610944
399332927.82658,240509_233530184.jpg,486429.81,7039278.943,406.426,-0.713298828,-1.664258857,2.240945121,135.575863386,179.622783381,2.761875803,-135.599234931
399332928.301481,240509_233530660.jpg,486436.795,7039271.552,406.723,-0.684324913,-1.79655793,2.732490427,133.268897396,179.244807057,3.177231282,-133.290696175
399332928.776381,240509_233531136.jpg,486443.47,7039263.888,407.089,-0.65368136,-2.011687932,3.495863466,130.935161194,178.680346805,3.805794735,-130.952567997
399332929.251281,240509_233531611.jpg,486449.827,7039255.943,407.548,-0.625627979,-2.559304542,3.659916506,128.843694389,178.758636534,4.283993249,-128.878857782
399332929.726182,240509_233532087.jpg,486455.895,7039247.819,408.066,-0.600027624,-2.586361246,4.377902522,127.017758107,178.065128763,4.695498921,-127.037078683
399332930.201082,240509_233532563.jpg,486461.709,7039239.54,408.681,-0.571301431,-2.1540791,4.978065164,125.01073309,177.160575353,4.61460099,-124.989735904
399332930.675982,240509_233533039.jpg,486467.218,7039231.043,409.355,-0.541425949,-2.121130057,4.701948005,122.922623396,177.208348701,4.330672633,-122.903930946
399332931.150882,240509_233533515.jpg,486472.391,7039222.353,410.022,-0.506785476,-2.111818699,5.163550766,120.602957603,176.632527777,4.440529006,-120.567360973
399332931.625783,240509_233533990.jpg,486477.236,7039213.438,410.703,-0.474747158,-2.121779472,4.934562672,118.472312101,176.676046499,4.212165804,-118.441239427
399332932.100683,240509_233534466.jpg,486481.747,7039204.348,411.396,-0.44160046,-2.149988404,4.907617691,116.3229811,176.55707024,4.097922562,-116.291667801
399332932.575583,240509_233534942.jpg,486485.921,7039195.085,412.08,-0.404144252,-1.915631937,4.880950125,113.941468904,176.319010948,3.726406037,-113.903100322
